date,incidR,r,icuOccupR,posR
2020-12-13,119.573874660946,1.07,56.6,6.13265617250789
2020-12-14,123.967825669956,1.09,57.3,6.07165636005657
2020-12-15,128.016101319832,1.11,56.8,5.89649057308195
2020-12-16,131.974978169931,1.13,56.1,5.58258347404028
2020-12-17,135.473451201181,1.14,55.3,5.16417525582896
2020-12-18,140.609412248336,1.15,54.6,4.68236850344318
2020-12-19,144.875224977667,1.15,53.7,4.38439342979032
2020-12-20,147.302402391597,1.14,54.3,4.29766767346385
2020-12-21,149.756399445459,1.12,54.1,3.81443831068532
2020-12-22,153.385990716382,1.1,53.8,3.37501463014502
2020-12-23,155.610530850818,1.07,53.4,3.04189442233919
2020-12-24,151.337268221505,1.03,52.3,2.86183294807395
2020-12-25,127.148932962001,1,51.7,2.74673138450248
2020-12-26,125.813910885339,0.98,52.2,2.81791384271809
2020-12-27,123.559571150978,0.96,52.4,2.83188711654766
2020-12-28,125.514424906088,0.96,53.3,3.19253641008966
2020-12-29,128.080170459672,0.96,52.7,3.79074083955378
2020-12-30,132.480081388667,0.98,52.4,4.56381612513461
2020-12-31,137.137758857018,1,51.9,5.12729381499293
2021-01-01,137.575812975923,1.03,51.6,5.15713989692869
2021-01-02,143.699630760607,1.06,52,5.36375709928657
2021-01-03,144.903534597596,1.09,52.7,5.41171599898501
2021-01-04,154.25017911422,1.12,52.5,5.6991372984245
2021-01-05,158.664989843179,1.15,51.7,5.92989242018663
2021-01-06,159.621557000786,1.17,51.5,6.23929105159981
2021-01-07,164.87820642764,1.18,50.9,6.46610812257429
2021-01-08,193.104387477046,1.19,51.5,6.42378269709457
2021-01-09,189.692333285579,1.19,51.4,6.43252397948254
2021-01-10,189.304938486548,1.18,51.8,6.43515336494216
2021-01-11,187.478223011117,1.17,52.7,6.5080035005617
2021-01-12,185.4056608363,1.15,52.9,6.45535308994229
2021-01-13,186.082111754609,1.13,53.4,6.4757206494128
2021-01-14,188.253012609179,1.12,53.7,6.551221179029
2021-01-15,190.878357362613,1.11,54,6.62535516616139
2021-01-16,192.26701871914,1.1,54,6.6313787964438
2021-01-17,192.807881457787,1.09,54.7,6.64134733082022
2021-01-18,197.347850506433,1.09,55.4,6.84593063824025
2021-01-19,200.97148185737,1.09,55.9,6.97919415511505
2021-01-20,203.77860417035,1.09,56.2,7.04539588947312
2021-01-21,206.749624282919,1.09,56.7,7.0673177807522
2021-01-22,209.802593295284,1.08,57.4,7.0482488873939
2021-01-23,211.449021191166,1.08,57.1,7.08643448690837
2021-01-24,211.413261671255,1.08,58.4,7.09373387674131
2021-01-25,212.927081347469,1.07,59.9,7.06964420256624
2021-01-26,212.638025228192,1.06,60.7,6.98728782855117
2021-01-27,212.381748668833,1.06,61.2,6.90460274556534
2021-01-28,213.505193586023,1.05,61.3,6.78212057818461
2021-01-29,214.221873964231,1.04,61.7,6.68473128798301
2021-01-30,214.47815052359,1.04,61.3,6.63861740474688
2021-01-31,215.147151541917,1.03,62.2,6.65399730146208
2021-02-01,215.422797841228,1.02,63.6,6.66925907064624
2021-02-02,216.258676619137,1.01,64.7,6.62336637061044
2021-02-03,215.562855960877,1.01,64.6,6.57224081726104
2021-02-04,212.953900987402,1,64.1,6.49896188673789
2021-02-05,210.762140412884,0.99,64,6.39114322453786
2021-02-06,209.710214535515,0.98,63.6,6.33557998013084
2021-02-07,208.942874837434,0.97,64.5,6.3139496088901
2021-02-08,203.468688331125,0.96,66.3,6.22330583785262
2021-02-09,200.789704297825,0.95,65.9,6.15617947757444
2021-02-10,199.077717282107,0.94,65.4,6.10682312741413
2021-02-11,196.240795369202,0.94,65.8,6.03501958184165
2021-02-12,193.472412536125,0.94,65.2,5.98277445296471
2021-02-13,192.170170019382,0.94,65.1,5.94836738703521
2021-02-14,192.17910989936,0.95,65.2,5.94954961271491
2021-02-15,192.295328339069,0.96,66.6,6.00049190838602
2021-02-16,192.164210099397,0.97,66,6.04929927265444
2021-02-17,194.324681093994,0.99,66,6.13531362916401
2021-02-18,198.892959762569,1.01,66.9,6.26469824913963
2021-02-19,204.61001300827,1.03,66.8,6.42862593293582
2021-02-20,207.810490040266,1.04,66.6,6.52285139972482
2021-02-21,208.624019118231,1.06,67.1,6.54675182584138
2021-02-22,215.699934120534,1.07,67.4,6.84915045024032
2021-02-23,220.360591548878,1.07,67.9,7.0573420073019
2021-02-24,223.052985402144,1.08,67.9,7.16763813917768
2021-02-25,224.29413873904,1.08,67.8,7.25258069209667
2021-02-26,223.772645740345,1.07,68.1,7.2739979938809
2021-02-27,224.034882219689,1.06,68.3,7.3087635555858
2021-02-28,223.897804060032,1.05,69,7.30272618458083
2021-03-01,222.056188784637,1.04,70.1,7.29968157904662
2021-03-02,220.472340048599,1.03,70.9,7.27375510003441
2021-03-03,219.518752850984,1.02,71.9,7.2691551093531
2021-03-04,218.873591512597,1.02,71.8,7.23137169960397
2021-03-05,219.62007149073,1.02,72.8,7.21934418665931
2021-03-06,221.358878146381,1.03,72.9,7.24888008669478
2021-03-07,221.765642685364,1.04,74,7.25732800550012
2021-03-08,225.320734956473,1.05,76.1,7.33331361282467
2021-03-09,230.078241084574,1.07,77.5,7.37471410607435
2021-03-10,236.812950667731,1.09,77.5,7.48401952266932
2021-03-11,247.542296620897,1.11,78.9,7.51785591462466
2021-03-12,257.57284195581,1.13,79.7,7.53891347540989
2021-03-13,265.471225916056,1.15,80.5,7.63774396961552
2021-03-14,267.601897310728,1.17,81.6,7.6711356335507
2021-03-15,283.169208311794,1.18,83.4,7.94790030884269
2021-03-16,294.215920004166,1.19,83.8,8.02812280328715
2021-03-17,300.841861047595,1.19,83.4,8.07082144821499
2021-03-18,305.688765975472,1.19,83.9,8.02187253792211
2021-03-19,311.830463520112,1.18,84.8,7.98725763633505
2021-03-20,314.36640947377,1.16,86.1,7.95913355532259
2021-03-21,314.85810287254,,87.1,7.95804305885127
2021-03-22,325.368421766254,,89.9,8.01901169447621
2021-03-23,,,91.6,
2021-03-24,,,92,
2021-03-25,,,93.1,
2021-03-26,,,,
2021-03-27,,,,
2021-03-28,,,,
2021-03-29,,,,
2021-03-30,,,,
2021-03-31,,,,
2021-04-01,,,,
2021-04-02,,,,
2021-04-03,,,,
2021-04-04,,,,
2021-04-05,,,,
2021-04-06,,,,
2021-04-07,,,,
2021-04-08,,,,
2021-04-09,,,,
2021-04-10,,,,
2021-04-11,,,,
2021-04-12,,,,
2021-04-13,,,,
2021-04-14,,,,
2021-04-15,,,,
2021-04-16,,,,
2021-04-17,,,,
2021-04-18,,,,
2021-04-19,,,,
2021-04-20,,,,
2021-04-21,,,,
2021-04-22,,,,
2021-04-23,,,,
2021-04-24,,,,
2021-04-25,,,,
2021-04-26,,,,
2021-04-27,,,,
2021-04-28,,,,
2021-04-29,,,,
2021-04-30,,,,
